LOCAL_000396	.sPout
LOCAL_000397	Eden Burning
LOCAL_000398	Las Ketchup
LOCAL_000399	Gregorian
LOCAL_000400	Nokturnal Mortum
LOCAL_000401	Therion
LOCAL_000402	1. Futurologischer Congress
LOCAL_000403	Gatas Parlament
LOCAL_000404	Dream Theater
LOCAL_000405	Seven Witches
LOCAL_000406	Apollo Drive
LOCAL_000407	Primal Fear
LOCAL_000408	1. Mai 87
LOCAL_000409	Oktoberklub
LOCAL_000410	XIII. Století
LOCAL_000411	Jennifer Rostock
LOCAL_000412	Horse the Band
LOCAL_000413	Moi dix Mois
LOCAL_000414	Böhse Onkelz
LOCAL_000415	Arch Enemy
LOCAL_000416	Dungeon Family
LOCAL_000417	Andromeda
LOCAL_000418	Guaco
LOCAL_000419	The Revelers
LOCAL_000420	Caustic Christ
LOCAL_000421	Collide
LOCAL_000422	Kroda
LOCAL_000423	Temnozor
LOCAL_000424	1000 Robota
LOCAL_000425	Alkehol
LOCAL_000426	Tři sestry
LOCAL_000427	Chalk Circle
LOCAL_000428	Drum Connection
LOCAL_000429	Morčata na útěku
LOCAL_000430	Groove Coverage
LOCAL_000431	Avenged Sevenfold
LOCAL_000432	101 South
LOCAL_000433	Panik
LOCAL_000434	Random
LOCAL_000435	Love Affair
LOCAL_000436	Operation Ivy
LOCAL_000437	The Lemonheads
LOCAL_000438	Black Rebel Motorcycle Club
LOCAL_000439	Sanctuary
LOCAL_000440	The United States of America
LOCAL_000441	The Babyshakers
LOCAL_000442	Cinema Bizarre
LOCAL_000443	Ikimono-gakari
LOCAL_000444	Riblja Čorba
LOCAL_000445	The Statler Brothers
LOCAL_000446	Alkbottle
LOCAL_000447	Beat
LOCAL_000448	Secret Chiefs 3
LOCAL_000449	Skunk Anansie
LOCAL_000450	Fade
LOCAL_000451	Sawthis
LOCAL_000452	Unsane
LOCAL_000453	Youth Brigade
LOCAL_000454	fripSide
LOCAL_000455	10 Fold B-Low
LOCAL_000456	Il Teatro degli Orrori
LOCAL_000457	Zdob și Zdub
LOCAL_000458	Plain White T's
LOCAL_000459	Zealmen
LOCAL_000460	Zebda
LOCAL_000461	Zebrahead
LOCAL_000462	The Kelly Family
LOCAL_000463	Zeca Sempre
LOCAL_000464	Can
LOCAL_000465	Juli
LOCAL_000466	112
LOCAL_000467	113
LOCAL_000468	Les Enfoirés
LOCAL_000469	Children of Bodom
LOCAL_000470	Protest the Hero
LOCAL_000471	Euphoria
LOCAL_000472	120 Days
LOCAL_000473	Sacrificium
LOCAL_000474	Joy Division
LOCAL_000475	Franz Ferdinand
LOCAL_000476	Interzone
LOCAL_000477	Ekseption
LOCAL_000478	Ensemble Gilles Binchois
LOCAL_000479	Vibe
LOCAL_000480	Fotheringay
LOCAL_000481	English Congregation
LOCAL_000482	Moss
LOCAL_000483	Jahcoozi
LOCAL_000484	The Ruby Suns
LOCAL_000485	Japan
LOCAL_000486	12 Rounds
LOCAL_000487	12 Stones
LOCAL_000488	Day26
LOCAL_000489	13 & God
LOCAL_000490	3 Doors Down
LOCAL_000491	Imperanon
LOCAL_000492	Urge Overkill
LOCAL_000493	King's X
LOCAL_000494	Rose Chronicles
LOCAL_000495	Genitorturers
LOCAL_000496	Reveille
LOCAL_000497	Club 8
LOCAL_000498	HB
LOCAL_000499	The Presidents of the United States of America
LOCAL_000500	Supertramp
LOCAL_000501	Plastic Noise Experience
LOCAL_000502	Sarcófago
LOCAL_000503	Straftanz
LOCAL_000504	Africando
LOCAL_000505	The Scabs
LOCAL_000506	MN8
LOCAL_000507	The National Bank
LOCAL_000508	Il Volo
LOCAL_000509	Opshop
LOCAL_000510	The Strangeloves
LOCAL_000511	The Isley Brothers
LOCAL_000512	Pestpocken
LOCAL_000513	Dob Russkin
LOCAL_000514	Counting Crows
LOCAL_000515	The Fall of Troy
LOCAL_000516	The Dandy Warhols
LOCAL_000517	Delain
LOCAL_000518	Labyrinth
LOCAL_000519	John & Emery McClung
LOCAL_000520	Silly Wizard
LOCAL_000521	Steel Panther
LOCAL_000522	Masterplan
LOCAL_000523	7Zuma7
LOCAL_000524	Los Yorks
LOCAL_000525	Bauhaus
LOCAL_000526	Pantera
LOCAL_000527	Transvision Vamp
LOCAL_000528	Milestones
LOCAL_000529	Cheb Balowski
LOCAL_000530	The Heavy
LOCAL_000531	Godspeed You! Black Emperor
LOCAL_000532	SDN48
LOCAL_000533	Against Me!
LOCAL_000534	Westend
LOCAL_000535	Neu!
LOCAL_000536	Not Yet
LOCAL_000537	ReinXeed
LOCAL_000538	Maroon 5
LOCAL_000539	US5
LOCAL_000540	The Glove
LOCAL_000541	Black Messiah
LOCAL_000542	The Beach Boys
LOCAL_000543	Ganymed
LOCAL_000544	Saltatio Mortis
LOCAL_000545	Dimensión Latina
LOCAL_000546	Sixteen
LOCAL_000547	Order of Ennead
LOCAL_000548	Früchte des Zorns
LOCAL_000549	Zed
LOCAL_000550	Zed Yago
LOCAL_000551	Zee
LOCAL_000552	Yes
LOCAL_000553	Tool
LOCAL_000554	1349
LOCAL_000555	Europe
LOCAL_000556	Zeitgeist
LOCAL_000557	Four Year Strong
LOCAL_000558	Elonkerjuu
LOCAL_000559	Love Equals Death
LOCAL_000560	Zeke
LOCAL_000561	Laïs
LOCAL_000562	Secret Garden
LOCAL_000563	Zellberg Buam
LOCAL_000564	Saturnus
LOCAL_000565	The Rutles
LOCAL_000566	Pixies
LOCAL_000567	Sonic Youth
LOCAL_000568	The Kinks
LOCAL_000569	Zelta Zonk
LOCAL_000570	Zemial
LOCAL_000571	Manga
LOCAL_000572	Zen Café
LOCAL_000573	Zeni Geva
LOCAL_000574	Eagles
LOCAL_000575	Zeno
LOCAL_000576	GaGaGa SP
LOCAL_000577	Indexi
LOCAL_000578	Gorillaz
LOCAL_000579	Van Halen
LOCAL_000580	Zentralquartett
LOCAL_000581	14 Nothelfer
LOCAL_000582	Zenzile
LOCAL_000583	Portishead
LOCAL_000584	Zeraphine
LOCAL_000585	Sonata Arctica
LOCAL_000586	Zero 1
LOCAL_000587	Zero 7
LOCAL_000588	Zero Down
LOCAL_000589	Zero Hour
LOCAL_000590	Zeronic
LOCAL_000591	Zeromancer
LOCAL_000592	Kaiser Chiefs
LOCAL_000593	El Pont d'Arcalís
LOCAL_000594	Creedence Clearwater Revival
LOCAL_000595	Clannad
LOCAL_000596	The Yardbirds
LOCAL_000597	Venom
LOCAL_000598	The Corrs
LOCAL_000599	Burzum
LOCAL_000600	Rhapsody of Fire
LOCAL_000601	Sugababes
LOCAL_000602	Polar Bear Club
LOCAL_000603	Noel Gallagher's High Flying Birds
LOCAL_000604	Timex Social Club
LOCAL_000605	Kincade
LOCAL_000606	Shaka Ponk
LOCAL_000607	Seventh Avenue
LOCAL_000608	Paramaecium
LOCAL_000609	Aqua Timez
LOCAL_000610	Blush
LOCAL_000611	Zerstörte Jugend
LOCAL_000612	16
LOCAL_000613	16 Horsepower
LOCAL_000614	In Camera
LOCAL_000615	Zico Chain
LOCAL_000616	Love of Lesbian
LOCAL_000617	A Banda Mais Bonita da Cidade
LOCAL_000618	Kasalla
LOCAL_000619	Marquess
LOCAL_000620	La Roux
LOCAL_000621	Ch!pz
LOCAL_000622	17 Hippies
LOCAL_000623	Buranovskiye Babushki
LOCAL_000624	180 Grad
LOCAL_000625	The Flying Burrito Brothers
LOCAL_000626	The Rural Alberta Advantage
LOCAL_000627	Mors Principium Est
LOCAL_000628	Imperial State Electric
LOCAL_000629	Chiki liki tu-a
LOCAL_000630	The Buggles
LOCAL_000631	Bad Religion
LOCAL_000632	Azymuth
LOCAL_000633	Spayed
LOCAL_000634	The Diplomats
LOCAL_000635	Every Avenue
LOCAL_000636	Dezperadoz
LOCAL_000637	Jamiroquai
LOCAL_000638	The Stand Up
LOCAL_000639	Thin Lizzy
LOCAL_000640	2 Fabiola
LOCAL_000641	Pavlov's Dog
LOCAL_000642	The Aggrolites
LOCAL_000643	Zillertaler Türkenjäger
LOCAL_000644	Freshlyground
LOCAL_000645	Hardcore Superstar
LOCAL_000646	Made of Hate
LOCAL_000647	Zimmers Hole
LOCAL_000648	Rush
LOCAL_000649	S.D.I.
LOCAL_000650	Boston
LOCAL_000651	Kansas
LOCAL_000652	Melechesh
LOCAL_000653	18 Summers
LOCAL_000654	18th Dye
LOCAL_000655	Shearwater
LOCAL_000656	Lo Fidelity Allstars
LOCAL_000657	The Flowers of Romance
LOCAL_000658	Zinoba
LOCAL_000659	Forguette Mi Note
LOCAL_000660	Zion & Lennox
LOCAL_000661	Bonzo Dog Doo-Dah Band
LOCAL_000662	The Buckinghams
LOCAL_000663	Tenacious D
LOCAL_000664	Invocator
LOCAL_000665	Markscheider Kunst
LOCAL_000666	Vaya Con Dios
LOCAL_000667	1910 Fruitgum Company
LOCAL_000668	Zita Swoon
LOCAL_000669	Pain
LOCAL_000670	Azra
LOCAL_000671	Godsmack
LOCAL_000672	Lamb of God
LOCAL_000673	Owl City
LOCAL_000674	Enon
LOCAL_000675	Dead Kennedys
LOCAL_000676	Atomic Kitten
LOCAL_000677	Immortal
LOCAL_000678	The Stooges
LOCAL_000679	1 Giant Leap
LOCAL_000680	1X Band
LOCAL_000681	Public Enemy
LOCAL_000682	2-4 Grooves
LOCAL_000683	2-4 Family
LOCAL_000684	Richter Scale
LOCAL_000685	The Mamas & the Papas
LOCAL_000686	The Byrds
LOCAL_000687	RBD
LOCAL_000688	200
LOCAL_000689	200 Sachen
LOCAL_000690	The Kooks
LOCAL_000691	T. Rex
LOCAL_000692	Metal Church
LOCAL_000693	New Kids on the Block
LOCAL_000694	Shaman
LOCAL_000695	Litesound
LOCAL_000696	2066 & Then
LOCAL_000697	DragonForce
LOCAL_000698	20 Fingers
LOCAL_000699	Vista Chino
LOCAL_000700	Aqua
LOCAL_000701	Tristania
LOCAL_000702	Porcupine Tree
LOCAL_000703	Beastie Boys
LOCAL_000704	22-Pistepirkko
LOCAL_000705	The All-American Rejects
LOCAL_000706	The Libertines
LOCAL_000707	The Bangles
LOCAL_000708	Procol Harum
LOCAL_000709	Flyleaf
LOCAL_000710	23 Skidoo
LOCAL_000711	Musiqq
LOCAL_000712	N.W.A
LOCAL_000713	Manic Street Preachers
LOCAL_000714	Znowhite
LOCAL_000715	Dalis Car
LOCAL_000716	Zodiac
LOCAL_000717	Zodiac
LOCAL_000718	Zodiac Mindwarp and the Love Reaction
LOCAL_000719	Zodiak Free Arts Lab
LOCAL_000720	Electric Light Orchestra
LOCAL_000721	Zoetrope
LOCAL_000722	257ers
LOCAL_000723	Zoff
LOCAL_000724	Alpinestars
LOCAL_000725	25 ta Life
LOCAL_000726	Zolof the Rock & Roll Destroyer
LOCAL_000727	The Supremes
LOCAL_000728	L'Arc-en-Ciel
LOCAL_000729	The 101ers
LOCAL_000730	Zombie Ghost Train
LOCAL_000731	Zombie Inc.
LOCAL_000732	Zombie Nation
LOCAL_000733	Quinteto Académico
LOCAL_000734	Fatboy
LOCAL_000735	Zombina and The Skeletones
LOCAL_000736	Zomby Woof
LOCAL_000737	Zonaria
LOCAL_000738	Zone
LOCAL_000739	Village People
LOCAL_000740	dEUS
LOCAL_000741	Zoo Army
LOCAL_000742	Righeira
LOCAL_000743	Zoot
LOCAL_000744	The Killers
LOCAL_000745	Ainur
LOCAL_000746	Cirith Gorgor
LOCAL_000747	Cirith Ungol
LOCAL_000748	Gandalf
LOCAL_000749	The Hobbitons
LOCAL_000750	Yo La Tengo
LOCAL_000751	MxPx
LOCAL_000752	Budapest
LOCAL_000753	Lörihen
LOCAL_000754	Morgoth
LOCAL_000755	Saurom
LOCAL_000756	Shadowfax
LOCAL_000757	Shagrat
LOCAL_000758	Tengwar
LOCAL_000759	Za Frûmi
LOCAL_000760	Negative
LOCAL_000761	2AM Club
LOCAL_000762	SoMa
LOCAL_000763	2LHUD
LOCAL_000764	Elán
LOCAL_000765	Blackstreet
LOCAL_000766	Industry
LOCAL_000767	Small Faces
LOCAL_000768	Highland
LOCAL_000769	Dead Disco
LOCAL_000770	2 Bit Pie
LOCAL_000771	2 Brothers on the 4th Floor
LOCAL_000772	2 Live Crew
LOCAL_000773	2 Ton Predator
LOCAL_000774	2 Plus 1
LOCAL_000775	2nd Chapter of Acts
LOCAL_000776	3+2
LOCAL_000777	3-o-Matic
LOCAL_000778	Velvet Revolver
LOCAL_000779	McFly
LOCAL_000780	Richmond Fontaine
LOCAL_000781	Dalton
LOCAL_000782	The Tannahill Weavers
LOCAL_000783	Demoniac
LOCAL_000784	AnnaGrace
LOCAL_000785	Electro Deluxe
LOCAL_000786	Men Without Hats
LOCAL_000787	Krokus
LOCAL_000788	Anti-Pasti
LOCAL_000789	Zorch
LOCAL_000790	Zorn
LOCAL_000791	Zornik
LOCAL_000792	Zort
LOCAL_000793	Zouk Machine
LOCAL_000794	Zoviet France
LOCAL_000795	36 Crazyfists
LOCAL_000796	Zuco 103
LOCAL_000797	Zulu Winter
LOCAL_000798	39 Clocks
LOCAL_000799	3JS
LOCAL_000800	3Pol
LOCAL_000801	3OH!3
LOCAL_000802	3 Feet Smaller
LOCAL_000803	3 Inches of Blood
LOCAL_000804	3 Mustaphas 3
LOCAL_000805	3 of a Kind
LOCAL_000806	3rd Bass
LOCAL_000807	3rd Wish
LOCAL_000808	4.0
LOCAL_000809	Zurdok
LOCAL_000810	Zuul FX
LOCAL_000811	Zwakkelmann
LOCAL_000812	Zwan
LOCAL_000813	404 Not Found
LOCAL_000814	44 Leningrad
LOCAL_000815	I Muvrini
LOCAL_000816	49ers (band)
LOCAL_000817	4Backwoods
LOCAL_000818	4M
LOCAL_000819	4Lyn
LOCAL_000820	4Taste
LOCAL_000821	4Xang
LOCAL_000822	4 Amiguinhos
LOCAL_000823	4 Clubbers
LOCAL_000824	4Fun
LOCAL_000825	4 PS
LOCAL_000826	4 Promille
LOCAL_000827	4 Reeves
LOCAL_000828	4 United
LOCAL_000829	4 Non Blondes
LOCAL_000830	4 Strings
LOCAL_000831	4 Your Soul
LOCAL_000832	4 Yüz
LOCAL_000833	4 The Cause
LOCAL_000834	4 to the bar
LOCAL_000835	Slime
LOCAL_000836	Fairground Attraction
LOCAL_000837	Thorns
LOCAL_000838	Sepultura
LOCAL_000839	Big Audio Dynamite
LOCAL_000840	Hi-5
LOCAL_000841	Eiffel 65
LOCAL_000842	5000 Volts
LOCAL_000843	Irie Maffia
LOCAL_000844	Limp Bizkit
LOCAL_000845	Arena
LOCAL_000846	Vital Tech Tones
LOCAL_000847	The Wolfgang Press
LOCAL_000848	Atanatos
LOCAL_000849	Kastrierte Philosophen
LOCAL_000850	Zweitfrau
LOCAL_000851	55 Fifty Five
LOCAL_000852	Abigor
LOCAL_000853	Zwielicht
LOCAL_000854	Zwiezupf
LOCAL_000855	Zwinger Trio
LOCAL_000856	Zwitschermaschine
LOCAL_000857	59 Times the Pain
LOCAL_000858	5Bugs
LOCAL_000859	5 Dops
LOCAL_000860	5 NY
LOCAL_000861	5th Avenue
LOCAL_000862	Zyklon-B
